Id,Region,Name,Name_EN,Category,Url
171,lubuskie,Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim,Vocational College in Gorzow Wielkopolski,Private,http://wssz.pl/
172,lubuskie,Łużycka Szkoła Wyższa im. Jana Benedykta Solfy z siedzibą w Żarach,Jan Benedykt Solfa Lusatian Higher School in Żary,Private,https://lsw.edu.pl/
173,łódzkie,Akademia Humanistyczno-Ekonomiczna w Łodzi,University of Humanities and Economics in Lodz,Private,https://www.ahe.lodz.pl/
174,łódzkie,Społeczna Akademia Nauk z siedzibą w Łodzi,University of Social Sciences in Łódź,Private,https://lodz.san.edu.pl/
175,łódzkie,Szkoła Wyższa Ekonomii i Zarządzania w Łodzi,University of Economics and Management in Łódź,Private,https://www.sweiz.pl/
176,łódzkie,Wyższa Szkoła Informatyki i Umiejętności z siedzibą w Łodzi,University of Informatics and Skills in Łódź,Private,http://wsinf.edu.pl/
177,łódzkie,Wyższa Szkoła Finansów i Informatyki im. prof. Janusza Chechlińskiego w Łodzi,Janusz Chechliński University of Finance and Informatics in Łódź,Private,https://wsfi.pl/
178,łódzkie,Wyższa Szkoła Sztuki i Projektowania w Łodzi,University of Arts and Design in Łódź,Private,https://www.wssip.edu.pl/
179,łódzkie,Wyższa Szkoła Zawodowa Łódzkiej Korporacji Oświatowej w Łodzi,Higher Vocational School of the Łódź Educational Corporation in Łódź,Private,http://www.wszlko.edu.pl/
180,łódzkie,Akademia Nauk Stosowanych Gospodarki Krajowej w Kutnie,The State Academy of Applied Sciences in Kutno,Private,https://wsgk.com.pl/
181,łódzkie,Wschód-Zachód Szkoła Wyższa im. Henryka Jóźwiaka,East-West Higher School named after Henryk Jóźwiak,Private,http://www.wschodzachod.edu.pl/
182,łódzkie,Wyższa Szkoła Biznesu i Nauk o Zdrowiu w Łodzi,Business and Health Sciences University in Łódź,Private,https://www.wsbinoz.edu.pl/
183,łódzkie,Uczelnia ASBIRO,ASBIRO University,Private,https://www.asbiro.pl/
184,łódzkie,Wyższa Szkoła COSINUS w Łodzi,COSINUS Higher School in Łódź,Private,https://ws.cosinus.pl/
185,łódzkie,Wyższa Szkoła Kosmetyki i Nauk o Zdrowiu w Łodzi,Higher School of Cosmetology and Health Sciences in Łódź,Private,https://www.wyzszaszkolakosmetyki.pl/pl/
186,łódzkie,Uczelnia Nauk Społecznych,University of Social Sciences,Private,https://www.uns.lodz.pl/
187,łódzkie,Wyższa Szkoła Bezpieczeństwa Wewnętrznego w Łodzi,Higher School of Internal Security in Łódź,Private,http://wsbw.pl/
188,małopolskie,Wyższa Szkoła Zarządzania i Bankowości w Krakowie,University of Management and Banking in Krakow,Private,https://www.wszib.edu.pl/
189,małopolskie,Małopolska Wyższa Szkoła Ekonomiczna z siedzibą w Tarnowie,Malopolska University of Economics in Tarnów,Private,http://www.mwse.edu.pl/
190,małopolskie,Wyższa Szkoła Ekonomii i Informatyki w Krakowie,University of Economics and Informatics in Krakow,Private,https://wsei.edu.pl/
191,małopolskie,Wyższa Szkoła Turystyki i Ekologii w Suchej Beskidzkiej,School of Tourism and Ecology in Sucha Beskidzka,Private,https://wste.edu.pl/
192,małopolskie,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie,Andrzej Frycz Modrzewski Krakow University,Private,https://www.ka.edu.pl/
193,małopolskie,Krakowska Wyższa Szkoła Promocji Zdrowia w Krakowie,Krakow Higher School of Health Promotion,Private,https://www.kwspz.pl/
194,małopolskie,Wyższa Szkoła Europejska im. Ks. Józefa Tischnera w Krakowie,European Higher School named after Rev. Józef Tischner in Krakow,Private,https://wse.krakow.pl/
195,małopolskie,Tarnowska Szkoła Wyższa Akademia Nauk Stosowanych,Tarnów Higher School of Applied Sciences,Private,https://www.tszw.edu.pl/
196,małopolskie,"Wyższa Szkoła Bezpieczeństwa Publicznego i Indywidualnego ""Apeiron"" w Krakowie","Higher School of Public and Individual Security ""Apeiron"" in Krakow",Private,https://apeiron.edu.pl/
197,małopolskie,Wyższa Szkoła Biznesu - National Louis Uniwersytet z siedzibą w Nowym Sączu,Business School - National Louis University in Nowy Sącz,Private,https://www.wsb-nlu.edu.pl/
